"id","name","types","height","weight","abilities","egg_groups","stats","genus","description"
11,"Metapod","[""bug""]",7.00,99.00,"[""shed-skin""]","[""bug""]","{""hp"": 50, ""speed"": 30, ""attack"": 20, ""defense"": 55, ""special-attack"": 25, ""special-defense"": 25}","Cocoon PokÃ©mon","Its shell is hard, but itâ€™s still just a bug shell.
Itâ€™s been known to break, so intense battles
with it should be avoided."
12,"Butterfree","[""flying"", ""bug""]",11.00,320.00,"[""tinted-lens"", ""compound-eyes""]","[""bug""]","{""hp"": 60, ""speed"": 70, ""attack"": 45, ""defense"": 50, ""special-attack"": 90, ""special-defense"": 80}","Butterfly PokÃ©mon","When attacked by other PokÃ©mon, it defends
itself by scattering its poisonous scales and
fluttering its wings."
13,"Weedle","[""poison"", ""bug""]",3.00,32.00,"[""run-away"", ""shield-dust""]","[""bug""]","{""hp"": 40, ""speed"": 50, ""attack"": 35, ""defense"": 30, ""special-attack"": 20, ""special-defense"": 20}","Hairy Bug PokÃ©mon","Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
14,"Kakuna","[""poison"", ""bug""]",6.00,100.00,"[""shed-skin""]","[""bug""]","{""hp"": 45, ""speed"": 35, ""attack"": 25, ""defense"": 50, ""special-attack"": 25, ""special-defense"": 25}","Cocoon PokÃ©mon","Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
15,"Beedrill","[""poison"", ""bug""]",10.00,295.00,"[""sniper"", ""swarm""]","[""bug""]","{""hp"": 65, ""speed"": 75, ""attack"": 90, ""defense"": 40, ""special-attack"": 45, ""special-defense"": 80}","Poison Bee PokÃ©mon","Beedrill is extremely territorial. No one should ever approach
its nestâ€”this is for their own safety. If angered, they will attack
in a furious swarm."
16,"Pidgey","[""flying"", ""normal""]",3.00,18.00,"[""big-pecks"", ""tangled-feet"", ""keen-eye""]","[""flying""]","{""hp"": 40, ""speed"": 56, ""attack"": 45, ""defense"": 40, ""special-attack"": 35, ""special-defense"": 35}","Tiny Bird PokÃ©mon","Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
17,"Pidgeotto","[""flying"", ""normal""]",11.00,300.00,"[""big-pecks"", ""tangled-feet"", ""keen-eye""]","[""flying""]","{""hp"": 63, ""speed"": 71, ""attack"": 60, ""defense"": 55, ""special-attack"": 50, ""special-defense"": 50}","Bird PokÃ©mon","Pidgeotto claims a large area as its own territory. This
PokÃ©mon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
18,"Pidgeot","[""flying"", ""normal""]",15.00,395.00,"[""big-pecks"", ""tangled-feet"", ""keen-eye""]","[""flying""]","{""hp"": 83, ""speed"": 101, ""attack"": 80, ""defense"": 75, ""special-attack"": 70, ""special-defense"": 70}","Bird PokÃ©mon","This PokÃ©mon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their PokÃ©mon."
19,"Rattata","[""normal""]",3.00,35.00,"[""hustle"", ""guts"", ""run-away""]","[""ground""]","{""hp"": 30, ""speed"": 72, ""attack"": 56, ""defense"": 35, ""special-attack"": 25, ""special-defense"": 35}","Mouse PokÃ©mon","With their strong capacity for survival, they can
live in dirty places without concern. Left
unchecked, their numbers multiply rapidly."
20,"Raticate","[""normal""]",7.00,185.00,"[""hustle"", ""guts"", ""run-away""]","[""ground""]","{""hp"": 55, ""speed"": 97, ""attack"": 81, ""defense"": 60, ""special-attack"": 50, ""special-defense"": 70}","Mouse PokÃ©mon","Its disposition is far more violent than its looks
would suggest. Donâ€™t let your hand get too close
to its face, as it could bite your hand clean off."
21,"Spearow","[""flying"", ""normal""]",3.00,20.00,"[""sniper"", ""keen-eye""]","[""flying""]","{""hp"": 40, ""speed"": 70, ""attack"": 60, ""defense"": 30, ""special-attack"": 31, ""special-defense"": 31}","Tiny Bird PokÃ©mon","Farmers whose fields are troubled by bug
PokÃ©mon appreciate Spearow for its vigorous
appetite and look after it."
22,"Fearow","[""flying"", ""normal""]",12.00,380.00,"[""sniper"", ""keen-eye""]","[""flying""]","{""hp"": 65, ""speed"": 100, ""attack"": 90, ""defense"": 65, ""special-attack"": 61, ""special-defense"": 61}","Beak PokÃ©mon","Drawings of a PokÃ©mon resembling Fearow can
be seen in murals from deep in ancient history."
23,"Ekans","[""poison""]",20.00,69.00,"[""unnerve"", ""shed-skin"", ""intimidate""]","[""dragon"", ""ground""]","{""hp"": 35, ""speed"": 55, ""attack"": 60, ""defense"": 44, ""special-attack"": 40, ""special-defense"": 54}","Snake PokÃ©mon","Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
24,"Arbok","[""poison""]",35.00,650.00,"[""unnerve"", ""shed-skin"", ""intimidate""]","[""dragon"", ""ground""]","{""hp"": 60, ""speed"": 80, ""attack"": 95, ""defense"": 69, ""special-attack"": 65, ""special-defense"": 79}","Cobra PokÃ©mon","This PokÃ©mon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
25,"Pikachu","[""electric""]",4.00,60.00,"[""lightning-rod"", ""static""]","[""fairy"", ""ground""]","{""hp"": 35, ""speed"": 90, ""attack"": 55, ""defense"": 40, ""special-attack"": 50, ""special-defense"": 50}","Mouse PokÃ©mon","Itâ€™s in its nature to store electricity. It feels
stressed now and then if itâ€™s unable to fully
discharge the electricity."
26,"Raichu","[""electric""]",8.00,300.00,"[""lightning-rod"", ""static""]","[""fairy"", ""ground""]","{""hp"": 60, ""speed"": 110, ""attack"": 90, ""defense"": 55, ""special-attack"": 90, ""special-defense"": 80}","Mouse PokÃ©mon","It becomes aggressive when it has electricity
stored up. At such times, even its Trainer has to
take care to avoid being attacked."
27,"Sandshrew","[""ground""]",6.00,120.00,"[""sand-rush"", ""sand-veil""]","[""ground""]","{""hp"": 50, ""speed"": 40, ""attack"": 75, ""defense"": 85, ""special-attack"": 20, ""special-defense"": 30}","Mouse PokÃ©mon","It usually makes its home in deserts and arid
zones, where rain does not fall. It digs holes to
catch Bug-type PokÃ©mon."
28,"Sandslash","[""ground""]",10.00,295.00,"[""sand-rush"", ""sand-veil""]","[""ground""]","{""hp"": 75, ""speed"": 65, ""attack"": 100, ""defense"": 110, ""special-attack"": 45, ""special-defense"": 55}","Mouse PokÃ©mon","It uses its claws to climb trees and then curls
its body into a spiny ball, ready to drop onto
any prey that appears."
29,"Nidoranâ™€","[""poison""]",4.00,70.00,"[""hustle"", ""rivalry"", ""poison-point""]","[""ground"", ""monster""]","{""hp"": 55, ""speed"": 41, ""attack"": 47, ""defense"": 52, ""special-attack"": 40, ""special-defense"": 40}","Poison Pin PokÃ©mon","Nidoranâ™€ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied PokÃ©mon. When enraged, it releases
a horrible toxin from its horn."
30,"Nidorina","[""poison""]",8.00,200.00,"[""hustle"", ""rivalry"", ""poison-point""]","[""no-eggs""]","{""hp"": 70, ""speed"": 56, ""attack"": 62, ""defense"": 67, ""special-attack"": 55, ""special-defense"": 55}","Poison Pin PokÃ©mon","When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This PokÃ©mon appears to become nervous if separated
from the others."
31,"Nidoqueen","[""ground"", ""poison""]",13.00,600.00,"[""sheer-force"", ""rivalry"", ""poison-point""]","[""no-eggs""]","{""hp"": 90, ""speed"": 76, ""attack"": 92, ""defense"": 87, ""special-attack"": 75, ""special-defense"": 85}","Drill PokÃ©mon","Nidoqueenâ€™s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
PokÃ©mon is at its strongest when it is defending its young."
32,"Nidoranâ™‚","[""poison""]",5.00,90.00,"[""hustle"", ""rivalry"", ""poison-point""]","[""ground"", ""monster""]","{""hp"": 46, ""speed"": 50, ""attack"": 57, ""defense"": 40, ""special-attack"": 40, ""special-defense"": 40}","Poison Pin PokÃ©mon","Nidoranâ™‚ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this PokÃ©monâ€™s notice."
33,"Nidorino","[""poison""]",9.00,195.00,"[""hustle"", ""rivalry"", ""poison-point""]","[""ground"", ""monster""]","{""hp"": 61, ""speed"": 65, ""attack"": 72, ""defense"": 57, ""special-attack"": 55, ""special-defense"": 55}","Poison Pin PokÃ©mon","Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
34,"Nidoking","[""ground"", ""poison""]",14.00,620.00,"[""sheer-force"", ""rivalry"", ""poison-point""]","[""ground"", ""monster""]","{""hp"": 81, ""speed"": 85, ""attack"": 102, ""defense"": 77, ""special-attack"": 85, ""special-defense"": 75}","Drill PokÃ©mon","Nidokingâ€™s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this PokÃ©mon goes on a rampage, there is no stopping it."
35,"Clefairy","[""fairy""]",6.00,75.00,"[""friend-guard"", ""magic-guard"", ""cute-charm""]","[""fairy""]","{""hp"": 70, ""speed"": 35, ""attack"": 45, ""defense"": 48, ""special-attack"": 60, ""special-defense"": 65}","Fairy PokÃ©mon","On nights with a full moon, they gather together
and dance. The surrounding area is enveloped
in an abnormal magnetic field."
36,"Clefable","[""fairy""]",13.00,400.00,"[""unaware"", ""magic-guard"", ""cute-charm""]","[""fairy""]","{""hp"": 95, ""speed"": 60, ""attack"": 70, ""defense"": 73, ""special-attack"": 95, ""special-defense"": 90}","Fairy PokÃ©mon","According to tradition, people who see a pair
of Clefable skipping by can look forward to a
happy marriage."
37,"Vulpix","[""fire""]",6.00,99.00,"[""drought"", ""flash-fire""]","[""ground""]","{""hp"": 38, ""speed"": 65, ""attack"": 41, ""defense"": 40, ""special-attack"": 50, ""special-defense"": 65}","Fox PokÃ©mon","From its mouth spew flames that seem to
resemble the spirits of the deceased. Some
people mistakenly think this fire is a ghost."
38,"Ninetales","[""fire""]",11.00,199.00,"[""drought"", ""flash-fire""]","[""ground""]","{""hp"": 73, ""speed"": 100, ""attack"": 76, ""defense"": 75, ""special-attack"": 81, ""special-defense"": 100}","Fox PokÃ©mon","Said to live for a thousand years, this PokÃ©mon
uses its supernatural abilities to manipulate fire.
It can burn its prey to a crisp as it pleases."
39,"Jigglypuff","[""fairy"", ""normal""]",5.00,55.00,"[""friend-guard"", ""competitive"", ""cute-charm""]","[""fairy""]","{""hp"": 115, ""speed"": 20, ""attack"": 45, ""defense"": 20, ""special-attack"": 45, ""special-defense"": 25}","Balloon PokÃ©mon","Jigglypuff possess a vocal range that exceeds
12 octaves, but each individualâ€™s singing skill
depends on its own effort."
40,"Wigglytuff","[""fairy"", ""normal""]",10.00,120.00,"[""frisk"", ""competitive"", ""cute-charm""]","[""fairy""]","{""hp"": 140, ""speed"": 45, ""attack"": 70, ""defense"": 45, ""special-attack"": 85, ""special-defense"": 50}","Balloon PokÃ©mon","As it inhales, it expands...and expands...and
expands. Wigglytuff compete to see which one
can inflate itself the most."
41,"Zubat","[""flying"", ""poison""]",8.00,75.00,"[""infiltrator"", ""inner-focus""]","[""flying""]","{""hp"": 40, ""speed"": 55, ""attack"": 45, ""defense"": 35, ""special-attack"": 30, ""special-defense"": 40}","Bat PokÃ©mon","When exposed to sunlight, they suffer burns.
The frequency of their ultrasonic waves can
differ slightly from colony to colony."
42,"Golbat","[""flying"", ""poison""]",16.00,550.00,"[""infiltrator"", ""inner-focus""]","[""flying""]","{""hp"": 75, ""speed"": 90, ""attack"": 80, ""defense"": 70, ""special-attack"": 65, ""special-defense"": 75}","Bat PokÃ©mon","Sometimes they drink so much blood, they canâ€™t
fly anymore. Then they fall to the ground and
become food for other PokÃ©mon."
43,"Oddish","[""poison"", ""grass""]",5.00,54.00,"[""run-away"", ""chlorophyll""]","[""plant""]","{""hp"": 45, ""speed"": 30, ""attack"": 50, ""defense"": 55, ""special-attack"": 75, ""special-defense"": 65}","Weed PokÃ©mon","Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this PokÃ©monâ€™s feet
are thought to change shape and become similar to the roots
of trees."
44,"Gloom","[""poison"", ""grass""]",8.00,86.00,"[""stench"", ""chlorophyll""]","[""plant""]","{""hp"": 60, ""speed"": 40, ""attack"": 65, ""defense"": 70, ""special-attack"": 85, ""special-defense"": 75}","Weed PokÃ©mon","From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,"Vileplume","[""poison"", ""grass""]",12.00,186.00,"[""effect-spore"", ""chlorophyll""]","[""plant""]","{""hp"": 75, ""speed"": 50, ""attack"": 80, ""defense"": 85, ""special-attack"": 110, ""special-defense"": 90}","Flower PokÃ©mon","Vileplume has the worldâ€™s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this PokÃ©mon catches and devours them."
46,"Paras","[""grass"", ""bug""]",3.00,54.00,"[""damp"", ""dry-skin"", ""effect-spore""]","[""plant"", ""bug""]","{""hp"": 35, ""speed"": 25, ""attack"": 70, ""defense"": 55, ""special-attack"": 45, ""special-defense"": 55}","Mushroom PokÃ©mon","Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life."
47,"Parasect","[""grass"", ""bug""]",10.00,295.00,"[""damp"", ""dry-skin"", ""effect-spore""]","[""plant"", ""bug""]","{""hp"": 60, ""speed"": 30, ""attack"": 95, ""defense"": 80, ""special-attack"": 60, ""special-defense"": 80}","Mushroom PokÃ©mon","It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines."
48,"Venonat","[""poison"", ""bug""]",10.00,300.00,"[""run-away"", ""tinted-lens"", ""compound-eyes""]","[""bug""]","{""hp"": 60, ""speed"": 45, ""attack"": 55, ""defense"": 50, ""special-attack"": 40, ""special-defense"": 55}","Insect PokÃ©mon","Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,"Venomoth","[""poison"", ""bug""]",15.00,125.00,"[""wonder-skin"", ""tinted-lens"", ""shield-dust""]","[""bug""]","{""hp"": 70, ""speed"": 90, ""attack"": 65, ""defense"": 60, ""special-attack"": 90, ""special-defense"": 75}","Poison Moth PokÃ©mon","Venomoth is nocturnalâ€”it is a PokÃ©mon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,"Diglett","[""ground""]",2.00,8.00,"[""sand-force"", ""arena-trap"", ""sand-veil""]","[""ground""]","{""hp"": 10, ""speed"": 95, ""attack"": 55, ""defense"": 25, ""special-attack"": 35, ""special-defense"": 45}","Mole PokÃ©mon","Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in."
51,"Dugtrio","[""ground""]",7.00,333.00,"[""sand-force"", ""arena-trap"", ""sand-veil""]","[""ground""]","{""hp"": 35, ""speed"": 120, ""attack"": 100, ""defense"": 50, ""special-attack"": 50, ""special-defense"": 70}","Mole PokÃ©mon","Despite the closeness between this PokÃ©mon
and farmers and other people, no one has ever
seen the parts of it concealed underground."
52,"Meowth","[""normal""]",4.00,42.00,"[""unnerve"", ""technician"", ""pickup""]","[""ground""]","{""hp"": 40, ""speed"": 90, ""attack"": 45, ""defense"": 35, ""special-attack"": 40, ""special-defense"": 40}","Scratch Cat PokÃ©mon","It loves shiny things. It often fights with
Murkrow over prey theyâ€™re both trying to catch."
53,"Persian","[""normal""]",10.00,320.00,"[""unnerve"", ""technician"", ""limber""]","[""ground""]","{""hp"": 65, ""speed"": 115, ""attack"": 70, ""defense"": 60, ""special-attack"": 65, ""special-defense"": 65}","Classy Cat PokÃ©mon","It has a high opinion of itself, although not to
the same extent as the Alolan Persian. Itâ€™s quite
difficult to make friends with this PokÃ©mon."
54,"Psyduck","[""water""]",8.00,196.00,"[""swift-swim"", ""cloud-nine"", ""damp""]","[""ground"", ""water1""]","{""hp"": 50, ""speed"": 55, ""attack"": 52, ""defense"": 48, ""special-attack"": 65, ""special-defense"": 50}","Duck PokÃ©mon","This PokÃ©mon is troubled by constant
headaches. The more pain itâ€™s in, the more
powerful its psychokinesis becomes."
55,"Golduck","[""water""]",17.00,766.00,"[""swift-swim"", ""cloud-nine"", ""damp""]","[""ground"", ""water1""]","{""hp"": 80, ""speed"": 85, ""attack"": 82, ""defense"": 78, ""special-attack"": 95, ""special-defense"": 80}","Duck PokÃ©mon","It swims along the banks of lakes and catches
fish PokÃ©mon. It takes them to the shore and
quietly eats them up."
56,"Mankey","[""fighting""]",5.00,280.00,"[""defiant"", ""anger-point"", ""vital-spirit""]","[""ground""]","{""hp"": 40, ""speed"": 70, ""attack"": 80, ""defense"": 35, ""special-attack"": 35, ""special-defense"": 45}","Pig Monkey PokÃ©mon","Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake upâ€”which infuriates it all over again."
57,"Primeape","[""fighting""]",10.00,320.00,"[""defiant"", ""anger-point"", ""vital-spirit""]","[""ground""]","{""hp"": 65, ""speed"": 95, ""attack"": 105, ""defense"": 60, ""special-attack"": 60, ""special-defense"": 70}","Pig Monkey PokÃ©mon","Some researchers theorize that Primeape
remains angry even when inside a PokÃ© Ball."
58,"Growlithe","[""fire""]",7.00,190.00,"[""justified"", ""flash-fire"", ""intimidate""]","[""ground""]","{""hp"": 55, ""speed"": 60, ""attack"": 70, ""defense"": 45, ""special-attack"": 70, ""special-defense"": 50}","Puppy PokÃ©mon","It looks cute, but when you approach another
Trainerâ€™s Growlithe, it will bark at you and bite."
59,"Arcanine","[""fire""]",19.00,1550.00,"[""justified"", ""flash-fire"", ""intimidate""]","[""ground""]","{""hp"": 90, ""speed"": 95, ""attack"": 110, ""defense"": 80, ""special-attack"": 100, ""special-defense"": 80}","Legendary PokÃ©mon","The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends."
60,"Poliwag","[""water""]",6.00,124.00,"[""swift-swim"", ""damp"", ""water-absorb""]","[""water1""]","{""hp"": 40, ""speed"": 90, ""attack"": 50, ""defense"": 40, ""special-attack"": 40, ""special-defense"": 40}","Tadpole PokÃ©mon","Itâ€™s still not very good at walking. Its Trainers
should train this PokÃ©mon to walk every day."
61,"Poliwhirl","[""water""]",10.00,200.00,"[""swift-swim"", ""damp"", ""water-absorb""]","[""water1""]","{""hp"": 65, ""speed"": 90, ""attack"": 65, ""defense"": 65, ""special-attack"": 50, ""special-defense"": 50}","Tadpole PokÃ©mon","It marches over the land in search of bug
PokÃ©mon to eat. Then it takes them underwater
so it can dine on them where itâ€™s safe."
62,"Poliwrath","[""fighting"", ""water""]",13.00,540.00,"[""swift-swim"", ""damp"", ""water-absorb""]","[""water1""]","{""hp"": 90, ""speed"": 70, ""attack"": 95, ""defense"": 95, ""special-attack"": 70, ""special-defense"": 90}","Tadpole PokÃ©mon","Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop."
63,"Abra","[""psychic""]",9.00,195.00,"[""magic-guard"", ""inner-focus"", ""synchronize""]","[""humanshape""]","{""hp"": 25, ""speed"": 90, ""attack"": 20, ""defense"": 15, ""special-attack"": 105, ""special-defense"": 55}","Psi PokÃ©mon","It can teleport itself to safety while itâ€™s asleep,
but when it wakes, it doesnâ€™t know where it is,
so it panics."
64,"Kadabra","[""psychic""]",13.00,565.00,"[""magic-guard"", ""inner-focus"", ""synchronize""]","[""humanshape""]","{""hp"": 40, ""speed"": 105, ""attack"": 35, ""defense"": 30, ""special-attack"": 120, ""special-defense"": 70}","Psi PokÃ©mon","Kadabraâ€™s presence infests televisions and
monitors with creepy shadows that bring
bad luck."
65,"Alakazam","[""psychic""]",15.00,480.00,"[""magic-guard"", ""inner-focus"", ""synchronize""]","[""humanshape""]","{""hp"": 55, ""speed"": 120, ""attack"": 50, ""defense"": 45, ""special-attack"": 135, ""special-defense"": 95}","Psi PokÃ©mon","Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head."
66,"Machop","[""fighting""]",8.00,195.00,"[""steadfast"", ""no-guard"", ""guts""]","[""humanshape""]","{""hp"": 70, ""speed"": 35, ""attack"": 80, ""defense"": 50, ""special-attack"": 35, ""special-defense"": 35}","Superpower PokÃ©mon","With its superhuman strength, itâ€™s able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day."
67,"Machoke","[""fighting""]",15.00,705.00,"[""steadfast"", ""no-guard"", ""guts""]","[""humanshape""]","{""hp"": 80, ""speed"": 45, ""attack"": 100, ""defense"": 70, ""special-attack"": 50, ""special-defense"": 60}","Superpower PokÃ©mon","It willingly assists with hard labor because it
knows the work is good training for its muscles."
68,"Machamp","[""fighting""]",16.00,1300.00,"[""steadfast"", ""no-guard"", ""guts""]","[""humanshape""]","{""hp"": 90, ""speed"": 55, ""attack"": 130, ""defense"": 80, ""special-attack"": 65, ""special-defense"": 85}","Superpower PokÃ©mon","It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work."
69,"Bellsprout","[""poison"", ""grass""]",7.00,40.00,"[""gluttony"", ""chlorophyll""]","[""plant""]","{""hp"": 50, ""speed"": 40, ""attack"": 75, ""defense"": 35, ""special-attack"": 70, ""special-defense"": 30}","Flower PokÃ©mon","Bellsproutâ€™s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this PokÃ©mon spits a corrosive fluid that melts even iron."
70,"Weepinbell","[""poison"", ""grass""]",10.00,64.00,"[""gluttony"", ""chlorophyll""]","[""plant""]","{""hp"": 65, ""speed"": 55, ""attack"": 90, ""defense"": 50, ""special-attack"": 85, ""special-defense"": 45}","Flycatcher PokÃ©mon","Weepinbell has a large hook on its rear end. At night, the
PokÃ©mon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,"Victreebel","[""poison"", ""grass""]",17.00,155.00,"[""gluttony"", ""chlorophyll""]","[""plant""]","{""hp"": 80, ""speed"": 70, ""attack"": 105, ""defense"": 65, ""special-attack"": 100, ""special-defense"": 70}","Flycatcher PokÃ©mon","Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this PokÃ©mon swallows it whole."
72,"Tentacool","[""poison"", ""water""]",9.00,455.00,"[""rain-dish"", ""liquid-ooze"", ""clear-body""]","[""water3""]","{""hp"": 40, ""speed"": 70, ""attack"": 40, ""defense"": 35, ""special-attack"": 50, ""special-defense"": 100}","Jellyfish PokÃ©mon","It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital."
73,"Tentacruel","[""poison"", ""water""]",16.00,550.00,"[""rain-dish"", ""liquid-ooze"", ""clear-body""]","[""water3""]","{""hp"": 80, ""speed"": 100, ""attack"": 70, ""defense"": 65, ""special-attack"": 80, ""special-defense"": 120}","Jellyfish PokÃ©mon","Although these PokÃ©mon are rare, when a large
outbreak of them occurs, all fish PokÃ©mon
disappear from the surrounding sea."
74,"Geodude","[""ground"", ""rock""]",4.00,200.00,"[""sand-veil"", ""sturdy"", ""rock-head""]","[""mineral""]","{""hp"": 40, ""speed"": 20, ""attack"": 80, ""defense"": 100, ""special-attack"": 30, ""special-defense"": 30}","Rock PokÃ©mon","There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route."
